,Document Title,Authors,Abstract,Article Citation Count,Publication Year,DOI,Terms
3,A Self Organizing Map for Exploratory Analysis of PET Radiomic Features,E. Alsyed; R. Smith; S. Paisey; C. Marshall; E. Spezi,"Texture analysis for quantification of intratumor uptake heterogeneity in PET/CT images has received increasing attention. This allows the extraction of a large number of `radiomic' features to be correlated with end point information such as tumor type, therapy response, prognosis. The conventional complex workflow for calculation of texture features introduces numerous confounding variables. This non exhaustively includes, imaging time post administration of radiopharmaceutical and the method and extent of functional volume segmentation. A lack of understanding on the dependency of texture features with these variables serves as a detriment to the urgent need to standardize texture measurements to pool results from different imaging centers. The utilization of machine learning techniques for feature (and their combinations) selection serves as a promising method to alleviate redundancy in radiomics. To this avail, we introduce for the first time the application of a Kohonen self-organizing feature map to identify the emergent properties present when performing texture analysis. The application of the self-organizing map to radiomic analysis serves as a powerful general-purpose exploratory instrument to reveal the statistical indicators of texture distributions. For this purpose, texture features from PET-CT images of 8 pre-clinical mice with mammary carcinoma xenografts were analyzed with varying post injection imaging time and tumor segmentation contour size. This varying distribution of texture parameters were interpreted by the self-organizing map to reveal two distinct clusters of texture features which are dependent on contour size, providing additional evidence that contour size and hence segmentation method is a confounding variable when performing texture analysis. Furthermore, the self-organizing map can be utilized as a method to incorporate this revealed dependency in a prediction model in the presence of end point information, which will be an area of future work.",,2020,10.1109/NSS/MIC42677.2020.9507846,medical treatment
3,A Self Organizing Map for Exploratory Analysis of PET Radiomic Features,E. Alsyed; R. Smith; S. Paisey; C. Marshall; E. Spezi,"Texture analysis for quantification of intratumor uptake heterogeneity in PET/CT images has received increasing attention. This allows the extraction of a large number of `radiomic' features to be correlated with end point information such as tumor type, therapy response, prognosis. The conventional complex workflow for calculation of texture features introduces numerous confounding variables. This non exhaustively includes, imaging time post administration of radiopharmaceutical and the method and extent of functional volume segmentation. A lack of understanding on the dependency of texture features with these variables serves as a detriment to the urgent need to standardize texture measurements to pool results from different imaging centers. The utilization of machine learning techniques for feature (and their combinations) selection serves as a promising method to alleviate redundancy in radiomics. To this avail, we introduce for the first time the application of a Kohonen self-organizing feature map to identify the emergent properties present when performing texture analysis. The application of the self-organizing map to radiomic analysis serves as a powerful general-purpose exploratory instrument to reveal the statistical indicators of texture distributions. For this purpose, texture features from PET-CT images of 8 pre-clinical mice with mammary carcinoma xenografts were analyzed with varying post injection imaging time and tumor segmentation contour size. This varying distribution of texture parameters were interpreted by the self-organizing map to reveal two distinct clusters of texture features which are dependent on contour size, providing additional evidence that contour size and hence segmentation method is a confounding variable when performing texture analysis. Furthermore, the self-organizing map can be utilized as a method to incorporate this revealed dependency in a prediction model in the presence of end point information, which will be an area of future work.",,2020,10.1109/NSS/MIC42677.2020.9507846,tools
3,A Self Organizing Map for Exploratory Analysis of PET Radiomic Features,E. Alsyed; R. Smith; S. Paisey; C. Marshall; E. Spezi,"Texture analysis for quantification of intratumor uptake heterogeneity in PET/CT images has received increasing attention. This allows the extraction of a large number of `radiomic' features to be correlated with end point information such as tumor type, therapy response, prognosis. The conventional complex workflow for calculation of texture features introduces numerous confounding variables. This non exhaustively includes, imaging time post administration of radiopharmaceutical and the method and extent of functional volume segmentation. A lack of understanding on the dependency of texture features with these variables serves as a detriment to the urgent need to standardize texture measurements to pool results from different imaging centers. The utilization of machine learning techniques for feature (and their combinations) selection serves as a promising method to alleviate redundancy in radiomics. To this avail, we introduce for the first time the application of a Kohonen self-organizing feature map to identify the emergent properties present when performing texture analysis. The application of the self-organizing map to radiomic analysis serves as a powerful general-purpose exploratory instrument to reveal the statistical indicators of texture distributions. For this purpose, texture features from PET-CT images of 8 pre-clinical mice with mammary carcinoma xenografts were analyzed with varying post injection imaging time and tumor segmentation contour size. This varying distribution of texture parameters were interpreted by the self-organizing map to reveal two distinct clusters of texture features which are dependent on contour size, providing additional evidence that contour size and hence segmentation method is a confounding variable when performing texture analysis. Furthermore, the self-organizing map can be utilized as a method to incorporate this revealed dependency in a prediction model in the presence of end point information, which will be an area of future work.",,2020,10.1109/NSS/MIC42677.2020.9507846,predictive models
3,A Self Organizing Map for Exploratory Analysis of PET Radiomic Features,E. Alsyed; R. Smith; S. Paisey; C. Marshall; E. Spezi,"Texture analysis for quantification of intratumor uptake heterogeneity in PET/CT images has received increasing attention. This allows the extraction of a large number of `radiomic' features to be correlated with end point information such as tumor type, therapy response, prognosis. The conventional complex workflow for calculation of texture features introduces numerous confounding variables. This non exhaustively includes, imaging time post administration of radiopharmaceutical and the method and extent of functional volume segmentation. A lack of understanding on the dependency of texture features with these variables serves as a detriment to the urgent need to standardize texture measurements to pool results from different imaging centers. The utilization of machine learning techniques for feature (and their combinations) selection serves as a promising method to alleviate redundancy in radiomics. To this avail, we introduce for the first time the application of a Kohonen self-organizing feature map to identify the emergent properties present when performing texture analysis. The application of the self-organizing map to radiomic analysis serves as a powerful general-purpose exploratory instrument to reveal the statistical indicators of texture distributions. For this purpose, texture features from PET-CT images of 8 pre-clinical mice with mammary carcinoma xenografts were analyzed with varying post injection imaging time and tumor segmentation contour size. This varying distribution of texture parameters were interpreted by the self-organizing map to reveal two distinct clusters of texture features which are dependent on contour size, providing additional evidence that contour size and hence segmentation method is a confounding variable when performing texture analysis. Furthermore, the self-organizing map can be utilized as a method to incorporate this revealed dependency in a prediction model in the presence of end point information, which will be an area of future work.",,2020,10.1109/NSS/MIC42677.2020.9507846,feature extraction
3,A Self Organizing Map for Exploratory Analysis of PET Radiomic Features,E. Alsyed; R. Smith; S. Paisey; C. Marshall; E. Spezi,"Texture analysis for quantification of intratumor uptake heterogeneity in PET/CT images has received increasing attention. This allows the extraction of a large number of `radiomic' features to be correlated with end point information such as tumor type, therapy response, prognosis. The conventional complex workflow for calculation of texture features introduces numerous confounding variables. This non exhaustively includes, imaging time post administration of radiopharmaceutical and the method and extent of functional volume segmentation. A lack of understanding on the dependency of texture features with these variables serves as a detriment to the urgent need to standardize texture measurements to pool results from different imaging centers. The utilization of machine learning techniques for feature (and their combinations) selection serves as a promising method to alleviate redundancy in radiomics. To this avail, we introduce for the first time the application of a Kohonen self-organizing feature map to identify the emergent properties present when performing texture analysis. The application of the self-organizing map to radiomic analysis serves as a powerful general-purpose exploratory instrument to reveal the statistical indicators of texture distributions. For this purpose, texture features from PET-CT images of 8 pre-clinical mice with mammary carcinoma xenografts were analyzed with varying post injection imaging time and tumor segmentation contour size. This varying distribution of texture parameters were interpreted by the self-organizing map to reveal two distinct clusters of texture features which are dependent on contour size, providing additional evidence that contour size and hence segmentation method is a confounding variable when performing texture analysis. Furthermore, the self-organizing map can be utilized as a method to incorporate this revealed dependency in a prediction model in the presence of end point information, which will be an area of future work.",,2020,10.1109/NSS/MIC42677.2020.9507846,texture analysis
4,PET-Train: Automatic Ground Truth Generation from PET Acquisitions for Urinary Bladder Segmentation in CT Images using Deep Learning,C. Gsaxner; B. Pfarrkirchner; L. Lindner; A. Pepe; P. M. Roth; J. Egger; J. Wallner,"In this contribution, we propose an automatic ground truth generation approach that utilizes Positron Emission Tomography (PET) acquisitions to train neural networks for automatic urinary bladder segmentation in Computed Tomography (CT) images. We evaluated different deep learning architectures to segment the urinary bladder. However, deep neural networks require a large amount of training data, which is currently the main bottleneck in the medical field, because ground truth labels have to be created by medical experts on a time-consuming slice-by-slice basis. To overcome this problem, we generate the training data set from the PET data of combined PET/CT acquisitions. This can be achieved by applying simple thresholding to the PET data, where the radiotracer accumulates very distinct in the urinary bladder. However, the ultimate goal is to entirely skip PET imaging and its additional radiation exposure in the future, and only use CT images for segmentation.",3.0,2018,10.1109/BMEiCON.2018.8609954,urinary bladder
4,PET-Train: Automatic Ground Truth Generation from PET Acquisitions for Urinary Bladder Segmentation in CT Images using Deep Learning,C. Gsaxner; B. Pfarrkirchner; L. Lindner; A. Pepe; P. M. Roth; J. Egger; J. Wallner,"In this contribution, we propose an automatic ground truth generation approach that utilizes Positron Emission Tomography (PET) acquisitions to train neural networks for automatic urinary bladder segmentation in Computed Tomography (CT) images. We evaluated different deep learning architectures to segment the urinary bladder. However, deep neural networks require a large amount of training data, which is currently the main bottleneck in the medical field, because ground truth labels have to be created by medical experts on a time-consuming slice-by-slice basis. To overcome this problem, we generate the training data set from the PET data of combined PET/CT acquisitions. This can be achieved by applying simple thresholding to the PET data, where the radiotracer accumulates very distinct in the urinary bladder. However, the ultimate goal is to entirely skip PET imaging and its additional radiation exposure in the future, and only use CT images for segmentation.",3.0,2018,10.1109/BMEiCON.2018.8609954,segmentation
4,PET-Train: Automatic Ground Truth Generation from PET Acquisitions for Urinary Bladder Segmentation in CT Images using Deep Learning,C. Gsaxner; B. Pfarrkirchner; L. Lindner; A. Pepe; P. M. Roth; J. Egger; J. Wallner,"In this contribution, we propose an automatic ground truth generation approach that utilizes Positron Emission Tomography (PET) acquisitions to train neural networks for automatic urinary bladder segmentation in Computed Tomography (CT) images. We evaluated different deep learning architectures to segment the urinary bladder. However, deep neural networks require a large amount of training data, which is currently the main bottleneck in the medical field, because ground truth labels have to be created by medical experts on a time-consuming slice-by-slice basis. To overcome this problem, we generate the training data set from the PET data of combined PET/CT acquisitions. This can be achieved by applying simple thresholding to the PET data, where the radiotracer accumulates very distinct in the urinary bladder. However, the ultimate goal is to entirely skip PET imaging and its additional radiation exposure in the future, and only use CT images for segmentation.",3.0,2018,10.1109/BMEiCON.2018.8609954,bladder
5,Co-Learning Feature Fusion Maps From PET-CT Images of Lung Cancer,A. Kumar; M. Fulham; D. Feng; J. Kim,"The analysis of multi-modality positron emission tomography and computed tomography (PET-CT) images for computer-aided diagnosis applications (e.g., detection and segmentation) requires combining the sensitivity of PET to detect abnormal regions with anatomical localization from CT. Current methods for PET-CT image analysis either process the modalities separately or fuse information from each modality based on knowledge about the image analysis task. These methods generally do not consider the spatially varying visual characteristics that encode different information across different modalities, which have different priorities at different locations. For example, a high abnormal PET uptake in the lungs is more meaningful for tumor detection than physiological PET uptake in the heart. Our aim is to improve the fusion of the complementary information in multi-modality PET-CT with a new supervised convolutional neural network (CNN) that learns to fuse complementary information for multi-modality medical image analysis. Our CNN first encodes modalityspecific features and then uses them to derive a spatially varying fusion map that quantifies the relative importance of each modality's feature across different spatial locations. These fusion maps are then multiplied with the modalityspecific feature maps to obtain a representation of the complementary multi-modality information at different locations, which can then be used for image analysis. We evaluated the ability of our CNN to detect and segment multiple regions (lungs, mediastinum, and tumors) with different fusion requirements using a dataset of PET-CT images of lung cancer. We compared our method to baseline techniques for multi-modality image fusion (fused inputs (FSs), multi-branch (MB) techniques, and multi-channel (MC) techniques) and segmentation. Our findings show that our CNN had a significantly higher foreground detection accuracy (99.29%, p <; 0.05) than the fusion baselines (FS: 99.00%, MB: 99.08%, and TC: 98.92%) and a significantly higher Dice score (63.85%) than the recent PET-CT tumor segmentation methods.",40.0,2020,10.1109/TMI.2019.2923601,fusion learning
5,Co-Learning Feature Fusion Maps From PET-CT Images of Lung Cancer,A. Kumar; M. Fulham; D. Feng; J. Kim,"The analysis of multi-modality positron emission tomography and computed tomography (PET-CT) images for computer-aided diagnosis applications (e.g., detection and segmentation) requires combining the sensitivity of PET to detect abnormal regions with anatomical localization from CT. Current methods for PET-CT image analysis either process the modalities separately or fuse information from each modality based on knowledge about the image analysis task. These methods generally do not consider the spatially varying visual characteristics that encode different information across different modalities, which have different priorities at different locations. For example, a high abnormal PET uptake in the lungs is more meaningful for tumor detection than physiological PET uptake in the heart. Our aim is to improve the fusion of the complementary information in multi-modality PET-CT with a new supervised convolutional neural network (CNN) that learns to fuse complementary information for multi-modality medical image analysis. Our CNN first encodes modalityspecific features and then uses them to derive a spatially varying fusion map that quantifies the relative importance of each modality's feature across different spatial locations. These fusion maps are then multiplied with the modalityspecific feature maps to obtain a representation of the complementary multi-modality information at different locations, which can then be used for image analysis. We evaluated the ability of our CNN to detect and segment multiple regions (lungs, mediastinum, and tumors) with different fusion requirements using a dataset of PET-CT images of lung cancer. We compared our method to baseline techniques for multi-modality image fusion (fused inputs (FSs), multi-branch (MB) techniques, and multi-channel (MC) techniques) and segmentation. Our findings show that our CNN had a significantly higher foreground detection accuracy (99.29%, p <; 0.05) than the fusion baselines (FS: 99.00%, MB: 99.08%, and TC: 98.92%) and a significantly higher Dice score (63.85%) than the recent PET-CT tumor segmentation methods.",40.0,2020,10.1109/TMI.2019.2923601,tumors
5,Co-Learning Feature Fusion Maps From PET-CT Images of Lung Cancer,A. Kumar; M. Fulham; D. Feng; J. Kim,"The analysis of multi-modality positron emission tomography and computed tomography (PET-CT) images for computer-aided diagnosis applications (e.g., detection and segmentation) requires combining the sensitivity of PET to detect abnormal regions with anatomical localization from CT. Current methods for PET-CT image analysis either process the modalities separately or fuse information from each modality based on knowledge about the image analysis task. These methods generally do not consider the spatially varying visual characteristics that encode different information across different modalities, which have different priorities at different locations. For example, a high abnormal PET uptake in the lungs is more meaningful for tumor detection than physiological PET uptake in the heart. Our aim is to improve the fusion of the complementary information in multi-modality PET-CT with a new supervised convolutional neural network (CNN) that learns to fuse complementary information for multi-modality medical image analysis. Our CNN first encodes modalityspecific features and then uses them to derive a spatially varying fusion map that quantifies the relative importance of each modality's feature across different spatial locations. These fusion maps are then multiplied with the modalityspecific feature maps to obtain a representation of the complementary multi-modality information at different locations, which can then be used for image analysis. We evaluated the ability of our CNN to detect and segment multiple regions (lungs, mediastinum, and tumors) with different fusion requirements using a dataset of PET-CT images of lung cancer. We compared our method to baseline techniques for multi-modality image fusion (fused inputs (FSs), multi-branch (MB) techniques, and multi-channel (MC) techniques) and segmentation. Our findings show that our CNN had a significantly higher foreground detection accuracy (99.29%, p <; 0.05) than the fusion baselines (FS: 99.00%, MB: 99.08%, and TC: 98.92%) and a significantly higher Dice score (63.85%) than the recent PET-CT tumor segmentation methods.",40.0,2020,10.1109/TMI.2019.2923601,cancer
5,Co-Learning Feature Fusion Maps From PET-CT Images of Lung Cancer,A. Kumar; M. Fulham; D. Feng; J. Kim,"The analysis of multi-modality positron emission tomography and computed tomography (PET-CT) images for computer-aided diagnosis applications (e.g., detection and segmentation) requires combining the sensitivity of PET to detect abnormal regions with anatomical localization from CT. Current methods for PET-CT image analysis either process the modalities separately or fuse information from each modality based on knowledge about the image analysis task. These methods generally do not consider the spatially varying visual characteristics that encode different information across different modalities, which have different priorities at different locations. For example, a high abnormal PET uptake in the lungs is more meaningful for tumor detection than physiological PET uptake in the heart. Our aim is to improve the fusion of the complementary information in multi-modality PET-CT with a new supervised convolutional neural network (CNN) that learns to fuse complementary information for multi-modality medical image analysis. Our CNN first encodes modalityspecific features and then uses them to derive a spatially varying fusion map that quantifies the relative importance of each modality's feature across different spatial locations. These fusion maps are then multiplied with the modalityspecific feature maps to obtain a representation of the complementary multi-modality information at different locations, which can then be used for image analysis. We evaluated the ability of our CNN to detect and segment multiple regions (lungs, mediastinum, and tumors) with different fusion requirements using a dataset of PET-CT images of lung cancer. We compared our method to baseline techniques for multi-modality image fusion (fused inputs (FSs), multi-branch (MB) techniques, and multi-channel (MC) techniques) and segmentation. Our findings show that our CNN had a significantly higher foreground detection accuracy (99.29%, p <; 0.05) than the fusion baselines (FS: 99.00%, MB: 99.08%, and TC: 98.92%) and a significantly higher Dice score (63.85%) than the recent PET-CT tumor segmentation methods.",40.0,2020,10.1109/TMI.2019.2923601,lung
6,Deep Analysis of Dementia Disorder Using Artificial Intelligence to Improve Healthcare Services,D. Kavitha; A. Murugan; M. Sathiyanarayanan,"Dementia is a worldwide concern and early discovery of dementia is substantial for the administration of mental illness and healthy living. The data acquired from Magnetic resonance imaging (MRI), Positron Emission Tomography (PET) and Computed Tomography (CT) are used in identifying dementia. Albeit numerous non-AI and AI techniques have been implemented to understand the reasons behind dementia there is very little success to predict at an early stage. Considering the self-determination medicine, a new healthcare model that could be delivered by 5G, there is a pressing need to diagnose dementia patients in early stages using deep learning techniques and that can constantly improve assessment and diagnostic tools for distinguishing people with normal brain aging from those who will develop mild cognitive impairment. We will conduct state-of-the-art research to identify various deep learning algorithms and approaches that can be used for the diagnosis of dementia and aid in predicting at an early stage. We will develop and evaluate an intelligent algorithm that will predict and distinguish people with normal brain aging from those with mild cognitive impairment on a constant basis, which will be a good fit to the future healthcare model that will be delivered by 5G.",,2021,10.1109/COMSNETS51098.2021.9352897,dementia
6,Deep Analysis of Dementia Disorder Using Artificial Intelligence to Improve Healthcare Services,D. Kavitha; A. Murugan; M. Sathiyanarayanan,"Dementia is a worldwide concern and early discovery of dementia is substantial for the administration of mental illness and healthy living. The data acquired from Magnetic resonance imaging (MRI), Positron Emission Tomography (PET) and Computed Tomography (CT) are used in identifying dementia. Albeit numerous non-AI and AI techniques have been implemented to understand the reasons behind dementia there is very little success to predict at an early stage. Considering the self-determination medicine, a new healthcare model that could be delivered by 5G, there is a pressing need to diagnose dementia patients in early stages using deep learning techniques and that can constantly improve assessment and diagnostic tools for distinguishing people with normal brain aging from those who will develop mild cognitive impairment. We will conduct state-of-the-art research to identify various deep learning algorithms and approaches that can be used for the diagnosis of dementia and aid in predicting at an early stage. We will develop and evaluate an intelligent algorithm that will predict and distinguish people with normal brain aging from those with mild cognitive impairment on a constant basis, which will be a good fit to the future healthcare model that will be delivered by 5G.",,2021,10.1109/COMSNETS51098.2021.9352897,medical services
6,Deep Analysis of Dementia Disorder Using Artificial Intelligence to Improve Healthcare Services,D. Kavitha; A. Murugan; M. Sathiyanarayanan,"Dementia is a worldwide concern and early discovery of dementia is substantial for the administration of mental illness and healthy living. The data acquired from Magnetic resonance imaging (MRI), Positron Emission Tomography (PET) and Computed Tomography (CT) are used in identifying dementia. Albeit numerous non-AI and AI techniques have been implemented to understand the reasons behind dementia there is very little success to predict at an early stage. Considering the self-determination medicine, a new healthcare model that could be delivered by 5G, there is a pressing need to diagnose dementia patients in early stages using deep learning techniques and that can constantly improve assessment and diagnostic tools for distinguishing people with normal brain aging from those who will develop mild cognitive impairment. We will conduct state-of-the-art research to identify various deep learning algorithms and approaches that can be used for the diagnosis of dementia and aid in predicting at an early stage. We will develop and evaluate an intelligent algorithm that will predict and distinguish people with normal brain aging from those with mild cognitive impairment on a constant basis, which will be a good fit to the future healthcare model that will be delivered by 5G.",,2021,10.1109/COMSNETS51098.2021.9352897,prediction algorithms
6,Deep Analysis of Dementia Disorder Using Artificial Intelligence to Improve Healthcare Services,D. Kavitha; A. Murugan; M. Sathiyanarayanan,"Dementia is a worldwide concern and early discovery of dementia is substantial for the administration of mental illness and healthy living. The data acquired from Magnetic resonance imaging (MRI), Positron Emission Tomography (PET) and Computed Tomography (CT) are used in identifying dementia. Albeit numerous non-AI and AI techniques have been implemented to understand the reasons behind dementia there is very little success to predict at an early stage. Considering the self-determination medicine, a new healthcare model that could be delivered by 5G, there is a pressing need to diagnose dementia patients in early stages using deep learning techniques and that can constantly improve assessment and diagnostic tools for distinguishing people with normal brain aging from those who will develop mild cognitive impairment. We will conduct state-of-the-art research to identify various deep learning algorithms and approaches that can be used for the diagnosis of dementia and aid in predicting at an early stage. We will develop and evaluate an intelligent algorithm that will predict and distinguish people with normal brain aging from those with mild cognitive impairment on a constant basis, which will be a good fit to the future healthcare model that will be delivered by 5G.",,2021,10.1109/COMSNETS51098.2021.9352897,alzheimer’s disease (ad)
7,An image segmentation method of lung lymphatic tumors based on PET-CT images,Z. Dong; T. Xu; Y. Kang; J. Lian; B. Shi,"To address the problem from lymphatic tumor segmentation from PET-CT images, this paper presents an image segmentation method based on pulse-coupled neural network (PCNN). PET-CT image detection can provide more detailed tumor information for later diagnosis and treatment, while our adjustable fire-controlled MSPCNN model (AFC-MSPCNN) can segment lung tumors effectively. Related experiment results show that our proposed method can improve the image segmentation accuracy than other competitive methods.",,2021,10.1109/ICIBA52610.2021.9688245,corrosion
7,An image segmentation method of lung lymphatic tumors based on PET-CT images,Z. Dong; T. Xu; Y. Kang; J. Lian; B. Shi,"To address the problem from lymphatic tumor segmentation from PET-CT images, this paper presents an image segmentation method based on pulse-coupled neural network (PCNN). PET-CT image detection can provide more detailed tumor information for later diagnosis and treatment, while our adjustable fire-controlled MSPCNN model (AFC-MSPCNN) can segment lung tumors effectively. Related experiment results show that our proposed method can improve the image segmentation accuracy than other competitive methods.",,2021,10.1109/ICIBA52610.2021.9688245,segmentation
7,An image segmentation method of lung lymphatic tumors based on PET-CT images,Z. Dong; T. Xu; Y. Kang; J. Lian; B. Shi,"To address the problem from lymphatic tumor segmentation from PET-CT images, this paper presents an image segmentation method based on pulse-coupled neural network (PCNN). PET-CT image detection can provide more detailed tumor information for later diagnosis and treatment, while our adjustable fire-controlled MSPCNN model (AFC-MSPCNN) can segment lung tumors effectively. Related experiment results show that our proposed method can improve the image segmentation accuracy than other competitive methods.",,2021,10.1109/ICIBA52610.2021.9688245,afc-mspcnn
7,An image segmentation method of lung lymphatic tumors based on PET-CT images,Z. Dong; T. Xu; Y. Kang; J. Lian; B. Shi,"To address the problem from lymphatic tumor segmentation from PET-CT images, this paper presents an image segmentation method based on pulse-coupled neural network (PCNN). PET-CT image detection can provide more detailed tumor information for later diagnosis and treatment, while our adjustable fire-controlled MSPCNN model (AFC-MSPCNN) can segment lung tumors effectively. Related experiment results show that our proposed method can improve the image segmentation accuracy than other competitive methods.",,2021,10.1109/ICIBA52610.2021.9688245,lung
7,An image segmentation method of lung lymphatic tumors based on PET-CT images,Z. Dong; T. Xu; Y. Kang; J. Lian; B. Shi,"To address the problem from lymphatic tumor segmentation from PET-CT images, this paper presents an image segmentation method based on pulse-coupled neural network (PCNN). PET-CT image detection can provide more detailed tumor information for later diagnosis and treatment, while our adjustable fire-controlled MSPCNN model (AFC-MSPCNN) can segment lung tumors effectively. Related experiment results show that our proposed method can improve the image segmentation accuracy than other competitive methods.",,2021,10.1109/ICIBA52610.2021.9688245,mathematical models
8,A three-dimensional registration method for automated fusion of micro PET-CT-SPECT whole-body images,Meei-Ling Jan; Keh-Shih Chuang; Guo-Wei Chen; Yu-Ching Ni; S. Chen; Chih-Hsien Chang; Jay Wu; Te-Wei Lee; Ying-Kai Fu,"Micro positron emission tomography (PET) and micro single-photon emission computed tomography (SPECT), used for imaging small animals, have become essential tools in developing new pharmaceuticals and can be used, among other things, to test new therapeutic approaches in animal models of human disease, as well as to image gene expression. These imaging techniques can be used noninvasively in both detection and quantification. However, functional images provide little information on the structure of tissues and organs, which makes the localization of lesions difficult. Image fusion techniques can be exploited to map the functional images to structural images, such as X-ray computed tomography (CT), to support target identification and to facilitate the interpretation of PET or SPECT studies. Furthermore, the mapping of two functional images of SPECT and PET on a structural CT image can be beneficial for those in vivo studies that require two biological processes to be monitored simultaneously. This paper proposes an automated method for registering PET, CT, and SPECT images for small animals. A calibration phantom and a holder were used to determine the relationship among three-dimensional fields of view of various modalities. The holder was arranged in fixed positions on the couches of the scanners, and the spatial transformation matrix between the modalities was held unchanged. As long as objects were scanned together with the holder, the predetermined matrix could register the acquired tomograms from different modalities, independently of the imaged objects. In this work, the PET scan was performed by Concorde's microPET R4 scanner, and the SPECT and CT data were obtained using the Gamma Medica's X-SPECT/CT system. Fusion studies on phantoms and animals have been successfully performed using this method. For microPET-CT fusion, the maximum registration errors were 0.21 mm /spl plusmn/ 0.14 mm, 0.26 mm /spl plusmn/ 0.14 mm, and 0.45 mm /spl plusmn/ 0.34 mm in the X (right-left), Y (upper lower), and Z (rostral-caudal) directions, respectively; for the microPET-SPECT fusion, they were 0.24 mm /spl plusmn/ 0.14 mm, 0.28 mm /spl plusmn/ 0.15 mm, and 0.54 mm /spl plusmn/ 0.35 mm in the X, Y, and Z directions, respectively. The results indicate that this simple method can be used in routine fusion studies.",46.0,2005,10.1109/TMI.2005.848617,registration
8,A three-dimensional registration method for automated fusion of micro PET-CT-SPECT whole-body images,Meei-Ling Jan; Keh-Shih Chuang; Guo-Wei Chen; Yu-Ching Ni; S. Chen; Chih-Hsien Chang; Jay Wu; Te-Wei Lee; Ying-Kai Fu,"Micro positron emission tomography (PET) and micro single-photon emission computed tomography (SPECT), used for imaging small animals, have become essential tools in developing new pharmaceuticals and can be used, among other things, to test new therapeutic approaches in animal models of human disease, as well as to image gene expression. These imaging techniques can be used noninvasively in both detection and quantification. However, functional images provide little information on the structure of tissues and organs, which makes the localization of lesions difficult. Image fusion techniques can be exploited to map the functional images to structural images, such as X-ray computed tomography (CT), to support target identification and to facilitate the interpretation of PET or SPECT studies. Furthermore, the mapping of two functional images of SPECT and PET on a structural CT image can be beneficial for those in vivo studies that require two biological processes to be monitored simultaneously. This paper proposes an automated method for registering PET, CT, and SPECT images for small animals. A calibration phantom and a holder were used to determine the relationship among three-dimensional fields of view of various modalities. The holder was arranged in fixed positions on the couches of the scanners, and the spatial transformation matrix between the modalities was held unchanged. As long as objects were scanned together with the holder, the predetermined matrix could register the acquired tomograms from different modalities, independently of the imaged objects. In this work, the PET scan was performed by Concorde's microPET R4 scanner, and the SPECT and CT data were obtained using the Gamma Medica's X-SPECT/CT system. Fusion studies on phantoms and animals have been successfully performed using this method. For microPET-CT fusion, the maximum registration errors were 0.21 mm /spl plusmn/ 0.14 mm, 0.26 mm /spl plusmn/ 0.14 mm, and 0.45 mm /spl plusmn/ 0.34 mm in the X (right-left), Y (upper lower), and Z (rostral-caudal) directions, respectively; for the microPET-SPECT fusion, they were 0.24 mm /spl plusmn/ 0.14 mm, 0.28 mm /spl plusmn/ 0.15 mm, and 0.54 mm /spl plusmn/ 0.35 mm in the X, Y, and Z directions, respectively. The results indicate that this simple method can be used in routine fusion studies.",46.0,2005,10.1109/TMI.2005.848617,pharmaceuticals
8,A three-dimensional registration method for automated fusion of micro PET-CT-SPECT whole-body images,Meei-Ling Jan; Keh-Shih Chuang; Guo-Wei Chen; Yu-Ching Ni; S. Chen; Chih-Hsien Chang; Jay Wu; Te-Wei Lee; Ying-Kai Fu,"Micro positron emission tomography (PET) and micro single-photon emission computed tomography (SPECT), used for imaging small animals, have become essential tools in developing new pharmaceuticals and can be used, among other things, to test new therapeutic approaches in animal models of human disease, as well as to image gene expression. These imaging techniques can be used noninvasively in both detection and quantification. However, functional images provide little information on the structure of tissues and organs, which makes the localization of lesions difficult. Image fusion techniques can be exploited to map the functional images to structural images, such as X-ray computed tomography (CT), to support target identification and to facilitate the interpretation of PET or SPECT studies. Furthermore, the mapping of two functional images of SPECT and PET on a structural CT image can be beneficial for those in vivo studies that require two biological processes to be monitored simultaneously. This paper proposes an automated method for registering PET, CT, and SPECT images for small animals. A calibration phantom and a holder were used to determine the relationship among three-dimensional fields of view of various modalities. The holder was arranged in fixed positions on the couches of the scanners, and the spatial transformation matrix between the modalities was held unchanged. As long as objects were scanned together with the holder, the predetermined matrix could register the acquired tomograms from different modalities, independently of the imaged objects. In this work, the PET scan was performed by Concorde's microPET R4 scanner, and the SPECT and CT data were obtained using the Gamma Medica's X-SPECT/CT system. Fusion studies on phantoms and animals have been successfully performed using this method. For microPET-CT fusion, the maximum registration errors were 0.21 mm /spl plusmn/ 0.14 mm, 0.26 mm /spl plusmn/ 0.14 mm, and 0.45 mm /spl plusmn/ 0.34 mm in the X (right-left), Y (upper lower), and Z (rostral-caudal) directions, respectively; for the microPET-SPECT fusion, they were 0.24 mm /spl plusmn/ 0.14 mm, 0.28 mm /spl plusmn/ 0.15 mm, and 0.54 mm /spl plusmn/ 0.35 mm in the X, Y, and Z directions, respectively. The results indicate that this simple method can be used in routine fusion studies.",46.0,2005,10.1109/TMI.2005.848617,diseases
